   ,CUSTOMER_NO,SO_DEBIT1,SO_LAN_GD1,SO_TIEN_DEBIT1,SO_TIEN_CREBIT1,SO_DEBIT2,SO_LAN_GD3,SO_TIEN_DEBIT2,SO_TIEN_CREBIT2,SO_DEBIT3,SO_LAN_GD3,SO_TIEN_DEBIT3,SO_TIEN_CREBIT3,SO_DEBIT4,SO_LAN_GD4,SO_TIEN_DEBIT4,SO_TIEN_CREBIT4,NGAY_MO,NAMSINH,SO_NGAY_FIST,SO_DU_HIEN_TAI,SEX
297,000019482,,,,,,,,,,,,,,,,,7/4/2009,1986,127,18363,M
298,000019782,,,,,,,,,,,,,,,,,7/10/2009,1958,121,77504,M
299,000019783,,,,,,,,,,,,,,,,,7/10/2009,1991,121,5132,M
300,000019784,,,,,,,,,,,,,,,,,7/10/2009,1985,121,10064,M
301,000019230,,,,,,,,,,,,,,,,,11/13/2008,1989,360,2648,F
302,000020751,,,,,,,,,,,,,,,,,12/1/2008,1985,342,8885,F
303,000020753,,,,,,,,,,,,,,,,,12/1/2008,1980,342,900965,F
304,000018109,,,,,,,,,,,,,,,,,9/18/2009,1975,51,43512,M
305,000018793,,,,,,,,,,,,,,,,,7/3/2009,1986,215,92338,F
306,000017369,,,,,,,,,,,,,,,,,12/10/2008,1972,333,2482,M
307,000018914,4,7,8697916,8709000,5,9,9558055,9880000,3,7,4551390,4515000,3,5,4443639,2900000,4/17/2008,1981,570,29730,F
308,000019658,1,1,40000,0,,,,,,,,,,,,,11/26/2008,1969,347,55806,M
309,000017384,,,,,,,,,,,,,,,,,1/15/2009,1977,297,4874,F
310,000019855,,,,,,,,,,,,,,,,,8/15/2009,1986,85,3062,F
311,000031953,,,,,,,,,,,,,,,,,11/26/2009,1975,28,4669,M
312,000031950,,,,,,,,,,,,,,,,,12/1/2009,1972,23,64876,M
313,000032279,,,,,,,,,,,,,,,,,12/15/2009,1975,50,60140,M
314,000031949,,,,,,,,,,,,,,,,,12/1/2009,1987,23,5767,F
315,000034589,,,,,,,,,,,,,,,,,3/19/2010,1984,66,48965,F
316,000038552,,,,,,,,,,,,,,,,,7/22/2010,1987,8,2588,F
317,000042050,,,,,,,,,,,,,,,,,11/24/2010,1988,54,4202,M
318,000045272,,,,,,,,,,,,,,,,,4/7/2011,1991,34,110114,M
319,000102506,,,,,,,,,,,,,,,,,1/3/2017,1947,57,2436677,F
320,000046779,,,,,,,,,,,,,,,,,6/14/2011,1961,100,708,F
321,000095540,3,5,6000000,6077331,,,,,,,,,,,,,5/30/2016,1994,53,7713,M
322,000047936,13,19,29172000,973980510,20,26,27696000,38264462,20,26,30783000,1010086417,19,24,33506600,1017181464,8/5/2011,1988,26,14029942,M
323,000047935,9,16,40864712,45791375,28,43,65055408,63860698,22,30,55698312,56181228,15,23,40303293,30084191,8/5/2011,1988,26,3870067,M
324,000047850,,,,,,,,,,,,,,,,,8/2/2011,1983,20,6606,M
325,000048141,,,,,,,,,,,,,,,,,8/16/2011,1986,15,138409,F
326,000048396,1,3,2000000,15528441,9,14,42000000,50028247,26,29,82000000,67318105,4,4,7000000,0,8/30/2011,1990,8,858972,F
327,000048484,0,1,0,49987503,1,3,100900000,100918014,,,,,,,,,9/7/2011,1982,92,66120,F
328,000031887,2,2,6770000,0,2,2,24280000,0,2,2,8525000,0,1,2,400000,400000,9/20/2011,1949,0,5289196,F
329,000049953,,,,,,,,,,,,,,,,,11/10/2011,1990,232,104725,M
330,000052479,,,,,,,,,,,,,,,,,3/22/2012,1975,0,3751899,M
331,000052035,,,,,,,,,,,,,,,,,3/12/2012,1955,0,1511,F
332,000051126,,,,,,,,,,,,,,,,,2/2/2012,1975,0,105286,F
333,000053488,,,,,,,,,,,,,,,,,4/24/2012,1984,44,8523,M
334,000058050,3,6,150082500,5750000000,11,19,39952099000,39952999634,1,1,12700000,0,1,5,521441667,1073700805,8/17/2012,1978,0,161470828,F
335,000060380,12,21,40680354,46593318,39,63,243154800,281450581,37,61,83509200,300761538,33,73,109668538,272909121,10/22/2012,1992,8,258937265,F
336,000053729,,,,,,,,,,,,,,,,,9/12/2012,1983,0,107159,F
337,000095890,14,17,22254535,22300000,8,11,46005408,46073000,8,11,77967777,77961000,7,10,91467534,91466000,6/9/2016,1978,5,27766,M
338,000064402,,,,,,,,,,,,,,,,,3/18/2013,1989,149,7177,F
339,000067375,,,,,,,,,,,,,,,,,6/26/2013,1992,35,139683,M
340,000067431,,,,,,,,,,,,,,,,,6/26/2013,1975,28,87378,M
341,000065073,,,,,,,,,,,,,,,,,4/5/2013,1989,49,52991,M
342,000059332,,,,,,,,,,,,,,,,,6/12/2013,1977,176,1826,M
343,000067387,,,,,,,,,,,,,,,,,6/26/2013,1991,104,80510,M
344,000067505,,,,,,,,,,,,,,,,,6/27/2013,1980,28,86247,M
345,000067391,,,,,,,,,,,,,,,,,6/26/2013,1991,104,129491,F
346,000067402,,,,,,,,,,,,,,,,,6/26/2013,1993,104,103527,F
347,000067134,,,,,,,,,,,,,,,,,6/24/2013,1991,340,1111857,F
348,000067477,,,,,,,,,,,,,,,,,6/27/2013,1986,0,103813,M
349,000067007,,,,,,,,,,,,,,,,,6/19/2013,1994,2,804696,F
350,000065613,,,,,,,,,,,,,,,,,6/7/2013,1967,12,50082,F
351,000059279,12,13,24297288,30000000,36,38,284130190,449367834,13,13,28005000,0,,,,,6/13/2013,1987,857,100034,M
352,000068807,,,,,,,,,,,,,,,,,8/8/2013,1983,0,2240,M
353,000069192,1,2,1000000,1000000,,,,,,,,,,,,,8/26/2013,1992,24,117902,M
354,000064839,,,,,,,,,,,,,,,,,4/1/2013,1987,0,102567,F
355,000069157,,,,,,,,,,,,,,,,,8/23/2013,1993,0,103653,F
356,000068039,,,,,,,,,,,,,,,,,7/18/2013,1992,316,59766,F
357,000068808,,,,,,,,,,,,,,,,,8/8/2013,1987,0,7362,M
358,000066187,,,,,,,,,,,,,,,,,5/27/2013,1967,430,66102,M
359,000070054,,,,,,,,,,,,,,,,,9/23/2013,1989,15,58134,M
360,000069155,,,,,,,,,,,,,,,,,8/23/2013,1979,0,7277,F
361,000068128,,,,,,,,,,,,,,,,,7/23/2013,1992,77,52101,M
362,000068010,,,,,,,,,,,,,,,,,7/18/2013,1991,165,52887,F
363,000069783,10,13,21440279,22400000,12,15,69001678,75500000,12,15,71764604,71911481,11,12,15428518,7000000,9/13/2013,1984,0,553891,F
364,000070717,,,,,,,,,,,,,,,,,10/10/2013,1959,232,61670,M
365,000071243,,,,,,,,,,,,,,,,,10/24/2013,1969,27,1771,M
366,000071185,,,,,,,,,,,,,,,,,10/24/2013,1978,27,2899589,M
367,000074741,,,,,,,,,,,,,,,,,2/21/2014,1974,63,4286,M
368,000068276,30,50,82185404,80643125,38,54,156500746,148575870,22,34,36485753,44090376,37,51,104454700,96629845,7/26/2013,1987,0,557767,F
369,000070142,,,,,,,,,,,,,,,,,9/24/2013,1991,508,62886,M
370,000070905,,,,,,,,,,,,,,,,,10/23/2013,1987,29,7448,M
371,000072101,,,,,,,,,,,,,,,,,11/22/2013,1965,27,5173,M
372,000071209,,,,,,,,,,,,,,,,,10/24/2013,1975,27,1883,M
373,000071161,,,,,,,,,,,,,,,,,10/24/2013,1988,27,6588,M
374,000070929,,,,,,,,,,,,,,,,,10/23/2013,1972,28,4702,M
375,000074950,,,,,,,,,,,,,,,,,2/25/2014,1974,59,6861,M
376,000071096,,,,,,,,,,,,,,,,,10/23/2013,1967,29,5531,F
377,000070877,,,,,,,,,,,,,,,,,10/18/2013,1987,0,172920,M
378,000071237,,,,,,,,,,,,,,,,,10/31/2013,1989,21,8413,M
379,000022393,,,,,,,,,,,,,,,,,12/25/2013,1976,0,87299,F
380,000072912,,,,,,,,,,,,,,,,,12/11/2013,1991,0,8042,M
381,000073210,,,,,,,,,,,,,,,,,12/19/2013,1990,8,53220,F
382,000076437,,,,,,,,,,,,,,,,,4/11/2014,1976,60,1258,M
383,000072092,,,,,,,,,,,,,,,,,11/22/2013,1953,27,3105,M
384,000071009,,,,,,,,,,,,,,,,,10/23/2013,1970,28,774,M
385,000071145,,,,,,,,,,,,,,,,,10/23/2013,1971,28,1185,M
386,000071298,,,,,,,,,,,,,,,,,10/24/2013,1984,27,1905,M
387,000071074,,,,,,,,,,,,,,,,,10/23/2013,1969,28,1187,M
388,000076004,,,,,,,,,,,,,,,,,3/31/2014,1984,0,132907,F
389,000073998,,,,,,,,,,,,,,,,,1/17/2014,1963,60,1775,M
390,000071049,,,,,,,,,,,,,,,,,10/23/2013,1961,29,8003,M
391,000074549,,,,,,,,,,,,,,,,,2/19/2014,1988,65,3955,M
392,000074788,,,,,,,,,,,,,,,,,2/24/2014,1982,60,5158,M
393,000074696,,,,,,,,,,,,,,,,,2/24/2014,1988,60,6538,M
394,000073916,,,,,,,,,,,,,,,,,1/10/2014,1984,0,42491,M
395,000074779,,,,,,,,,,,,,,,,,2/21/2014,1979,63,801,M
396,000074704,,,,,,,,,,,,,,,,,2/24/2014,1979,60,4221,M
397,000074616,,,,,,,,,,,,,,,,,2/21/2014,1973,63,8213,M
398,000076586,,,,,,,,,,,,,,,,,4/11/2014,1973,42,5779,M
399,000071163,,,,,,,,,,,,,,,,,10/24/2013,1977,27,91323,M
400,000071842,,,,,,,,,,,,,,,,,11/6/2013,1966,29,3406,F
401,000071183,,,,,,,,,,,,,,,,,10/24/2013,1988,27,6901,M
402,000070946,,,,,,,,,,,,,,,,,10/23/2013,1987,28,4974,F
403,000074380,,,,,,,,,,,,,,,,,2/19/2014,1965,65,962,M
404,000075800,,,,,,,,,,,,,,,,,3/20/2014,1989,77,53883,M
405,000074854,,,,,,,,,,,,,,,,,2/24/2014,1971,60,8222,M
406,000071418,,,,,,,,,,,,,,,,,10/28/2013,1988,23,6850,F
407,000076034,,,,,,,,,,,,,,,,,3/31/2014,1976,46,7888,M
408,000075802,3,4,1913089,4000000,3,3,1892294,0,2,2,1289256,0,4,6,55822209,56360000,3/20/2014,1977,0,1067946,M
409,000071029,,,,,,,,,,,,,,,,,10/24/2013,1969,27,6923,M
410,000070927,,,,,,,,,,,,,,,,,10/23/2013,1986,28,128207,F
411,000071151,,,,,,,,,,,,,,,,,10/23/2013,1968,28,125,M
412,000071405,,,,,,,,,,,,,,,,,10/25/2013,1982,26,7209,M
413,000072098,,,,,,,,,,,,,,,,,11/22/2013,1984,27,5941,F
414,000071218,,,,,,,,,,,,,,,,,10/24/2013,1987,27,4890,M
415,000071062,,,,,,,,,,,,,,,,,10/24/2013,1969,27,3456,M
416,000070942,,,,,,,,,,,,,,,,,10/31/2013,1979,21,2591,M
417,000071040,,,,,,,,,,,,,,,,,10/31/2013,1970,20,6342,M
418,000071407,,,,,,,,,,,,,,,,,10/25/2013,1966,26,7894,M
419,000070972,,,,,,,,,,,,,,,,,10/23/2013,1974,28,1597,M
420,000071079,,,,,,,,,,,,,,,,,10/23/2013,1977,28,59215,M
421,000071336,,,,,,,,,,,,,,,,,10/25/2013,1952,26,3701,M
422,000070949,4,7,11700000,9000000,4,6,6000000,6000000,3,5,5950000,6000000,3,6,9000000,9000000,10/23/2013,1971,28,141041,M
423,000071100,,,,,,,,,,,,,,,,,10/23/2013,1985,28,71950,F
424,000071239,,,,,,,,,,,,,,,,,10/24/2013,1980,27,8692,M
425,000071269,,,,,,,,,,,,,,,,,10/24/2013,1974,27,2027,M
426,000070914,,,,,,,,,,,,,,,,,10/23/2013,1993,28,8275,F
427,000071305,,,,,,,,,,,,,,,,,10/24/2013,1974,34,7599,M
428,000070928,,,,,,,,,,,,,,,,,10/23/2013,1976,29,5475325,M
429,000070959,,,,,,,,,,,,,,,,,10/23/2013,1979,28,4849,M
430,000071054,,,,,,,,,,,,,,,,,10/23/2013,1969,29,6276,M
431,000071162,,,,,,,,,,,,,,,,,10/23/2013,1972,28,58847,M
432,000071463,23,26,24798748,24500000,53,56,20081699,22000000,44,48,26878259,25200000,52,54,18277388,18000000,10/29/2013,1984,0,167,M
433,000071133,4,6,5400000,5500000,,,,,,,,,,,,,10/24/2013,1968,27,32933,M
434,000070915,,,,,,,,,,,,,,,,,10/22/2013,1976,30,140853,M
435,000071197,,,,,,,,,,,,,,,,,10/24/2013,1988,27,2552,M
436,000071264,,,,,,,,,,,,,,,,,10/24/2013,1986,27,18965,F
437,000074626,,,,,,,,,,,,,,,,,2/24/2014,1958,60,5457,M
438,000070926,,,,,,,,,,,,,,,,,10/23/2013,1988,28,10952479,M
439,000070067,1,4,414960,46653209,1,1,100000,0,1,1,50000000,0,,,,,9/23/2013,1967,16,539389,F
440,000072102,4,7,5010000,3500000,1,1,1100000,0,,,,,,,,,11/22/2013,1969,27,94035,M
441,000074891,,,,,,,,,,,,,,,,,2/24/2014,1968,60,1947,M
442,000070007,,,,,,,,,,,,,,,,,9/20/2013,1991,18,54584,M
443,000074634,,,,,,,,,,,,,,,,,2/19/2014,1972,65,1096,M
444,000074926,,,,,,,,,,,,,,,,,2/25/2014,1983,59,2674,M
445,000074507,,,,,,,,,,,,,,,,,2/20/2014,1978,64,8446,M
446,000074393,,,,,,,,,,,,,,,,,2/18/2014,1972,90,1804,M
447,000074399,,,,,,,,,,,,,,,,,2/18/2014,1980,66,859,M
448,000076972,,,,,,,,,,,,,,,,,5/6/2014,1992,35,214708,F
449,000074749,,,,,,,,,,,,,,,,,2/21/2014,1977,63,6969,M
450,000076975,,,,,,,,,,,,,,,,,5/6/2014,1983,35,8489813,F
451,000070910,,,,,,,,,,,,,,,,,10/23/2013,1986,28,6250,M
452,000071071,,,,,,,,,,,,,,,,,10/23/2013,1972,28,2263,M
453,000070151,,,,,,,,,,,,,,,,,9/25/2013,1992,13,51517,M
454,000071204,,,,,,,,,,,,,,,,,10/24/2013,1988,27,80826,M
455,000074018,7,9,21066346,18528000,9,12,283398225,283660000,,,,,,,,,1/17/2014,1984,0,263009,M
456,000074545,,,,,,,,,,,,,,,,,2/19/2014,1969,89,2834,M
457,000074596,,,,,,,,,,,,,,,,,2/20/2014,1958,64,59286,M
458,000075976,,,,,,,,,,,,,,,,,4/2/2014,1976,37,1406,M
459,000074430,,,,,,,,,,,,,,,,,2/20/2014,1961,64,7561,M
460,000074757,,,,,,,,,,,,,,,,,2/21/2014,1978,63,57258,M
461,000074769,,,,,,,,,,,,,,,,,2/21/2014,1974,63,5355,M
462,000074594,,,,,,,,,,,,,,,,,2/20/2014,1965,64,8276,M
463,000074844,,,,,,,,,,,,,,,,,2/24/2014,1969,60,6461,M
464,000077021,,,,,,,,,,,,,,,,,5/7/2014,1993,34,80214,M
465,000076582,,,,,,,,,,,,,,,,,4/11/2014,1993,60,7206,M
466,000074887,,,,,,,,,,,,,,,,,2/24/2014,1970,60,1231,M
467,000077369,,,,,,,,,,,,,,,,,5/16/2014,1992,31,52056,F
468,000076918,,,,,,,,,,,,,,,,,4/24/2014,1987,83,7807,M
469,000077273,,,,,,,,,,,,,,,,,5/13/2014,1989,35,1530,M
470,000076529,,,,,,,,,,,,,,,,,4/10/2014,1985,61,5428,M
471,000075939,,,,,,,,,,,,,,,,,4/2/2014,1981,51,6347,M
472,000076098,,,,,,,,,,,,,,,,,4/2/2014,1986,69,5453,M
473,000076441,,,,,,,,,,,,,,,,,4/11/2014,1990,42,705,M
474,000077490,,,,,,,,,,,,,,,,,5/21/2014,1986,0,59415,F
475,000074422,,,,,,,,,,,,,,,,,2/18/2014,1993,66,7070,M
476,000080361,,,,,,,,,,,,,,,,,9/6/2014,1959,61,406,F
477,000074657,,,,,,,,,,,,,,,,,2/21/2014,1973,63,6549,M
478,000074586,,,,,,,,,,,,,,,,,2/21/2014,1961,63,69222,M
479,000074832,,,,,,,,,,,,,,,,,2/24/2014,1959,60,7911,M
480,000076930,10,11,7884000,8000000,,,,,4,5,3793040,6000000,4,5,3444800,12000000,9/10/2014,1971,19,10861906,M
481,000074142,6,9,20398377,20800000,6,9,19976618,18600000,6,10,109411543,111623000,2,2,2149252,0,1/24/2014,1973,0,567772,M
482,000080904,,,,,,,,,,,,,,,,,9/24/2014,1972,0,102019,F
483,000074606,,,,,,,,,,,,,,,,,2/21/2014,1966,63,6337,M
484,000080662,,,,,,,,,,,,,,,,,9/11/2014,1970,0,234563,M
485,000076462,,,,,,,,,,,,,,,,,4/8/2014,1987,31,4626,M
486,000081751,99,101,14795414,15600000,100,103,22834565,22300000,8,11,42399998,42471600,2,4,7823205,8000000,10/21/2014,1965,0,559468,F
487,000082609,9,12,45000000,45111260,7,10,35000000,35240141,0,1,0,2825784,8,11,38000000,36763256,11/26/2014,1994,145,2076156,F
488,000082257,6,7,10200000,10000000,,,,,,,,,1,2,1000000,1000000,11/5/2014,1958,30,53207,M
489,000082634,,,,,,,,,,,,,,,,,11/28/2014,1973,0,969237,F
490,000087124,,,,,,,,,,,,,,,,,6/12/2015,1994,280,304774,F
491,000074431,,,,,,,,,,,,,,,,,2/18/2014,1962,66,2346,M
492,000074432,,,,,,,,,,,,,,,,,2/18/2014,1987,66,5409,M
493,000075389,,,,,,,,,,,,,,,,,3/5/2014,1975,9,6273,M
494,000077378,,,,,,,,,,,,,,,,,5/21/2014,1975,63,4823,M
495,000074748,,,,,,,,,,,,,,,,,2/21/2014,1956,63,1743,M
496,000074438,,,,,,,,,,,,,,,,,2/18/2014,1962,66,2775,M
497,000085446,,,,,,,,,,,,,,,,,4/1/2015,1990,0,6919,M
498,000073486,,,,,,,,,,,,,,,,,12/26/2013,1955,5,23857,F
499,000075595,,,,,,,,,,,,,,,,,3/11/2014,1971,17,868572,F
500,000074437,,,,,,,,,,,,,,,,,2/18/2014,1975,66,6394,M
501,000074789,,,,,,,,,,,,,,,,,2/24/2014,1985,60,4198,M
502,000081399,,,,,,,,,,,,,,,,,10/6/2014,1992,0,106614,F
503,000087082,6,9,24161706,24000000,6,8,23497890,16000000,6,9,23078417,24000000,6,10,22997998,34000000,6/10/2015,1985,0,17416106,M
504,000087474,,,,,,,,,,,,,,,,,6/24/2015,1971,9,1041876,F
505,000076021,,,,,,,,,,,,,,,,,4/1/2014,1974,37,1932,M
506,000077290,,,,,,,,,,,,,,,,,5/14/2014,1980,27,946308,M
507,000077372,,,,,,,,,,,,,,,,,5/16/2014,1986,25,76369,F
508,000077373,,,,,,,,,,,,,,,,,5/16/2014,1985,40,52613,M
509,000077020,,,,,,,,,,,,,,,,,5/7/2014,1986,125,1395308,M
510,000087211,74,79,26886166,26860000,17,19,13333557,13340000,61,65,19898948,19900000,41,45,25719208,25850000,6/17/2015,1987,0,127933,F
511,000076020,,,,,,,,,,,,,,,,,4/1/2014,1980,22,8603,M
512,000072426,,,,,,,,,,,,,,,,,11/28/2013,1987,0,6270,M
513,000076968,,,,,,,,,,,,,,,,,5/6/2014,1986,112,121925,F
514,000083450,,,,,,,,,,,,,,,,,12/29/2014,1982,1,108619,M
515,000076018,,,,,,,,,,,,,,,,,4/1/2014,1988,37,3591,M
516,000074423,,,,,,,,,,,,,,,,,2/20/2014,1964,64,8327,M
517,000074793,,,,,,,,,,,,,,,,,2/24/2014,1966,60,4150,M
518,000074372,,,,,,,,,,,,,,,,,2/19/2014,1976,65,8497,M
519,000074796,,,,,,,,,,,,,,,,,2/24/2014,1986,56,205764,M
520,000097066,2,4,4000000,4250000,0,1,0,2250000,,,,,,,,,7/12/2016,1993,56,2409885,M
521,000092903,1,1,100000,0,,,,,,,,,,,,,1/27/2016,1983,62,1021,M
522,000081644,8,10,11973492,12200000,20,24,23695454,24000000,8,11,17377861,17000000,6,9,17667189,18000000,10/14/2014,1991,0,441725,M
523,000087598,,,,,,,,,,,,,,,,,6/29/2015,1992,8,3331,M
524,000093043,,,,,,,,,,,,,,,,,2/4/2016,1990,54,3872,M
525,000093047,16,22,27000000,34110000,24,30,110122000,109254000,13,19,21500000,34110000,18,22,34000000,28110000,2/4/2016,1979,54,18138037,M
526,000091878,,,,,,,,,,,,,,,,,12/15/2015,1988,0,6224,F
527,000087974,,,,,,,,,,,,,,,,,7/3/2015,1984,117,101502,F
528,000096606,0,1,0,50000,,,,,,,,,,,,,6/30/2016,1993,0,6128,F
529,000089127,19,26,51400000,67160000,16,19,48076182,34200000,10,15,28100000,26200000,10,14,35400000,35445855,8/26/2015,1990,0,76613,F
530,000092867,27,35,48552800,42400000,27,36,407108020,407000000,5,11,20006600,24000000,22,30,117936200,138488263,2/4/2016,1983,34,24646221,F
531,000091499,,,,,,,,,,,,,,,,,11/26/2015,1991,0,102934,M
532,000092762,8,11,106992611,104000000,13,16,353785666,351000000,8,12,134692194,134452342,8,12,122557501,163500000,1/19/2016,1957,0,40966293,M
533,000092491,,,,,,,,,,,,,,,,,1/11/2016,1991,0,151994,M
534,000093264,,,,,,,,,,,,,,,,,2/29/2016,1985,0,1000407,F
535,000088462,,,,,,,,,,,,,,,,,8/3/2015,1979,0,216794,M
536,000092890,16,22,24300000,24322111,21,27,27450000,27478447,13,18,23500000,23577508,11,16,26200000,36265699,1/27/2016,1986,62,10169305,M
537,000082166,48,52,29949960,29935000,18,21,21983556,22060000,27,30,21622455,21660000,24,26,14636286,14540000,11/3/2014,1982,0,58593,F
538,000088218,,,,,,,,,,,,,,,,,7/16/2015,1991,0,665,M
539,000092178,0,3,0,7081200,0,3,0,7081200,2,5,6000000,7081200,3,6,12000000,7081200,12/24/2015,1944,190,10248408,M
540,000093359,9,10,18071870,10000000,11,11,22641723,0,12,13,19409442,23000000,4,4,8253900,0,3/1/2016,1982,0,24431160,F
541,000094730,12,18,55044000,50050000,3,4,20022000,20000000,,,,,,,,,4/22/2016,1977,7,7998,M
542,000092489,,,,,,,,,,,,,,,,,1/11/2016,1991,0,1488,M
543,000093265,,,,,,,,,,,,,,,,,2/29/2016,1985,0,1000407,F
544,000091777,,,,,,,,,,,,,,,,,12/9/2015,1981,399,0,F
545,000087597,,,,,,,,,,,,,,,,,6/29/2015,1986,39,7618,M
546,000091641,,,,,,,,,,,,,,,,,12/3/2015,1985,0,37345,M
547,000087994,,,,,,,,,,,,,,,,,7/6/2015,1985,0,589310,F
548,000092879,20,26,13000000,16585295,25,31,24500000,24476329,20,25,19300000,18893839,15,20,20200000,27913510,2/4/2016,1993,54,13216368,M
549,000092495,,,,,,,,,,,,,,,,,1/11/2016,1992,0,151994,M
550,000099851,,,,,,,,,,,,,,,,,9/28/2016,1996,12,82148,M
551,000098513,7,9,6200000,8808366,27,33,17100000,15113144,10,15,9340000,11047994,14,19,20000000,22849078,8/18/2016,1978,22,5096352,M
552,000098515,11,15,9650000,10748107,17,23,21500000,22901209,15,20,18600000,16581408,17,22,22000000,25939486,8/18/2016,1992,22,4331228,M
553,000098510,2,4,1700000,5250000,18,22,12200000,12830000,3,3,3917000,0,,,,,8/18/2016,1992,19,178067,M
554,000098178,4,5,1319300000,1330609583,6,9,51246759,42000000,5,8,57539519,56000000,6,10,48262369,68000000,8/9/2016,1986,13,20318554,M
555,000099854,,,,,,,,,,,,,,,,,9/28/2016,1994,12,31301,M
556,000101064,,,,,,,,,,,,,,,,,11/4/2016,1981,81,48675,M
557,000099908,,,,,,,,,,,,,,,,,9/29/2016,1977,59,60570,M
558,000100207,,,,,,,,,,,,,,,,,10/6/2016,1987,0,1307650,F
559,000102642,,,,,,,,,,,,,,,,,1/11/2017,1989,14,2066263,M
560,000102186,,,,,,,,,,,,,,,,,12/21/2016,1992,19,89595,M
561,000100608,,,,,,,,,,,,,,,,,10/25/2016,1992,91,591323,M
562,000102602,,,,,,,,,,,,,,,,,1/11/2017,1988,14,1241686,M
563,000105418,,,,,,,,,,,,,,,,,5/22/2017,1984,0,32424,M
564,000105417,,,,,,,,,,,,,,,,,5/22/2017,1997,0,41467,M
565,000104928,,,,,,,,,,,,,,,,,4/27/2017,1975,11,44855,M
566,000019472,,,,,,,,,,,,,,,,,7/4/2009,1984,127,132340,M
567,000018049,,,,,,,,,,,,,,,,,4/14/2009,1980,208,135630,M
568,000019221,,,,,,,,,,,,,,,,,4/14/2009,1956,208,588702,F
569,000019297,,,,,,,,,,,,,,,,,4/24/2009,1981,215,6993,F
570,000018992,,,,,,,,,,,,,,,,,11/20/2008,1952,353,87757,F
571,000017421,,,,,,,,,,,,,,,,,8/29/2008,1984,436,944,M
572,000018124,,,,,,,,,,,,,,,,,4/14/2009,1966,208,112054,M
573,000019650,,,,,,,,,,,,,,,,,10/31/2008,1981,373,2078,M
574,000017761,,,,,,,,,,,,,,,,,6/15/2009,1980,146,2084,M
575,000019279,,,,,,,,,,,,,,,,,10/27/2008,1959,487,11509,M
576,000019430,,,,,,,,,,,,,,,,,12/1/2008,1984,342,75157,F
577,000019432,,,,,,,,,,,,,,,,,12/1/2008,1971,342,96090,F
578,000017760,,,,,,,,,,,,,,,,,6/15/2009,1965,148,8171,M
579,000021227,,,,,,,,,,,,,,,,,11/25/2008,1979,348,895,M
580,000018922,,,,,,,,,,,,,,,,,4/25/2008,1979,562,798,M
581,000019653,,,,,,,,,,,,,,,,,12/1/2008,1983,342,84977,F
582,000022298,,,,,,,,,,,,,,,,,2/22/2008,1961,625,124308,M
583,000022380,,,,,,,,,,,,,,,,,2/22/2008,1961,625,2134695,M
584,000019475,,,,,,,,,,,,,,,,,7/4/2009,1982,127,2381,F
585,000019479,,,,,,,,,,,,,,,,,7/4/2009,1985,127,4806,M
586,000019785,,,,,,,,,,,,,,,,,7/10/2009,1987,121,13884,M
587,000019777,,,,,,,,,,,,,,,,,7/6/2009,1979,125,786,M
588,000017866,,,,,,,,,,,,,,,,,10/21/2008,1975,383,765,F
589,000018421,,,,,,,,,,,,,,,,,7/2/2009,1982,129,4401,M
590,000018422,,,,,,,,,,,,,,,,,7/2/2009,1972,129,4355,M
591,000018411,,,,,,,,,,,,,,,,,7/2/2009,1988,129,2772,F
592,000020858,89,107,2054470860,2187625980,84,104,824971062,1712037575,90,118,1086098783,1501137567,152,181,639569662,939787615,10/12/2009,1983,27,82017244,F
593,000018465,,,,,,,,,,,,,,,,,11/4/2009,1987,407,18022,M
594,000018108,,,,,,,,,,,,,,,,,9/18/2009,1987,51,84081,F
595,000018401,,,,,,,,,,,,,,,,,11/3/2009,1988,49,19171,M
596,000018409,,,,,,,,,,,,,,,,,7/2/2009,1984,129,8517,F
597,000017674,,,,,,,,,,,,,,,,,6/9/2009,1965,178,1368,M
598,000022393,,,,,,,,,,,,,,,,,11/13/2009,1976,0,34644,F
599,000094924,,,,,,,,,,,,,,,,,5/4/2016,1991,0,50505,M
600,000019145,,,,,,,,,,,,,,,,,3/30/2009,1980,223,2379403,M
601,000020477,,,,,,,,,,,,,,,,,11/30/2009,1973,0,51803,M
602,000033436,,,,,,,,,,,,,,,,,2/1/2010,1982,28,6307,F
603,000033285,,,,,,,,,,,,,,,,,1/21/2010,1961,0,573084,M
604,000036582,,,,,,,,,,,,,,,,,6/3/2010,1989,7,56955,M
605,000022343,,,,,,,,,,,,,,,,,5/18/2010,1973,0,163355,F
606,000100829,,,,,,,,,,,,,,,,,11/1/2016,1993,38,6087,M
607,000050039,,,,,,,,,,,,,,,,,11/14/2011,1989,21,4482,M
608,000038437,,,,,,,,,,,,,,,,,7/22/2010,1982,8,638,M
609,000048144,,,,,,,,,,,,,,,,,11/16/2011,1953,0,51588,F
610,000039507,29,41,43797394,57229184,99,118,177602542,183806423,75,92,85821234,85297476,55,73,57133401,58161775,8/19/2010,1985,12,2111504,F
611,000040744,,,,,,,,,,,,,,,,,10/13/2010,1987,27,10675,M
612,000042758,1,1,77000000,0,6,9,13661718960,15309643183,0,2,0,2700000000,1,6,10000000,1976254813,12/8/2010,1970,0,356494,M
613,000049987,,,,,,,,,,,,,,,,,11/11/2011,1990,66,55218,F
614,000045559,,,,,,,,,,,,,,,,,4/26/2011,1963,0,5529,F
