   ,CUSTOMER_NO,SO_DEBIT1,SO_LAN_GD1,SO_TIEN_DEBIT1,SO_TIEN_CREBIT1,SO_DEBIT2,SO_LAN_GD3,SO_TIEN_DEBIT2,SO_TIEN_CREBIT2,SO_DEBIT3,SO_LAN_GD3,SO_TIEN_DEBIT3,SO_TIEN_CREBIT3,SO_DEBIT4,SO_LAN_GD4,SO_TIEN_DEBIT4,SO_TIEN_CREBIT4,NGAY_MO,NAMSINH,SO_NGAY_FIST,SO_DU_HIEN_TAI,SEX
71,000063865,1,4,8850000,4739699063,,,,,,,,,,,,,2/20/2013,1962,28,92713,M
72,000063433,,,,,,,,,,,,,,,,,1/18/2013,1967,0,2188,F
73,000063224,,,,,,,,,,,,,,,,,1/3/2013,1989,71,759,F
74,000050506,0,1,0,10000000,,,,,0,1,0,50000000,0,2,0,50400000,2/6/2013,1964,78,358924,F
75,000064314,,,,,,,,,,,,,,,,,3/12/2013,1987,0,52375,F
76,000066235,,,,,,,,,,,,,,,,,5/28/2013,1957,35,56581,F
77,000068129,,,,,,,,,,,,,,,,,7/23/2013,1992,311,52003,M
78,000058556,3,4,42511000,42500000,,,,,1,2,23000000,23000000,,,,,6/13/2013,1976,256,131652,F
79,000067719,21,30,98500000,98557956,21,33,98050000,115273981,38,50,177500000,160172854,4,7,17700000,17750534,7/2/2013,1990,56,118016,F
80,000067024,,,,,,,,,,,,,,,,,6/20/2013,1968,685,63357,M
81,000067013,2,4,5900000,5824240,3,6,4550000,9574362,7,11,26900000,21942502,1,2,4000000,3956367,6/19/2013,1989,69,90630,M
82,000067394,,,,,,,,,,,,,,,,,6/26/2013,1992,338,111221,F
83,000068107,,,,,,,,,,,,,,,,,7/22/2013,1992,78,58702,F
84,000067016,16,23,79100000,79385786,31,46,140800000,140461337,18,25,78900000,78953857,2,3,6600000,6538017,6/19/2013,1990,54,86856,M
85,000068097,,,,,,,,,,,,,,,,,7/22/2013,1992,78,52113,F
86,000068015,9,12,21300000,21321421,4,5,11900000,11890088,,,,,,,,,7/18/2013,1992,82,97303,M
87,000066365,,,,,,,,,,,,,,,,,5/29/2013,1956,0,3890,M
88,000068059,13,17,58400000,58195716,13,16,47800000,47800212,18,21,79250000,79229695,,,,,7/19/2013,1981,60,84470,F
89,000070137,,,,,,,,,,,,,,,,,9/24/2013,1991,14,51151,F
90,000067623,9,14,51142567,50143200,6,10,9550500,22351620,0,3,0,27618632,4,4,6000000,0,6/28/2013,1952,776,61445,F
91,000070199,,,,,,,,,,,,,,,,,9/27/2013,1994,11,58670,F
92,000068095,,,,,,,,,,,,,,,,,7/22/2013,1992,312,51380,M
93,000066952,,,,,,,,,,,,,,,,,6/17/2013,1987,38,77335,F
94,000068816,,,,,,,,,,,,,,,,,8/9/2013,1985,0,121229,F
95,000070538,,,,,,,,,,,,,,,,,10/2/2013,1984,6,51499,M
96,000068748,7,10,26700000,26682232,8,14,29850000,40307867,5,7,15800000,5362074,2,3,7400000,7373797,8/6/2013,1989,50,63820,M
97,000070053,,,,,,,,,,,,,,,,,9/23/2013,1990,15,51278,M
98,000070718,,,,,,,,,,,,,,,,,10/10/2013,1986,232,60718,M
99,000074462,,,,,,,,,,,,,,,,,2/18/2014,1984,66,3225,M
100,000074467,,,,,,,,,,,,,,,,,2/20/2014,1981,64,2206,M
101,000069781,69,70,34602348,34200000,82,82,376983,0,97,99,33882275,35000000,89,91,41010600,41000000,9/13/2013,1975,4,1039738,M
102,000071194,,,,,,,,,,,,,,,,,10/24/2013,1966,28,3732,M
103,000074773,,,,,,,,,,,,,,,,,2/21/2014,1978,63,6265,M
