X81,X71,X51,X61,X82,X72,X52,X62,X83,X73,X53,X63,X84,X74,X54,X64,X1,X4,X2,Amount4,Amount3,Amount2,Amount1,Label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,22,1,1229,1229,1229,1229,-1
13,19,29172000,973980510,20,26,27696000,38264462,20,26,30783000,1010086417,19,24,33506600,1017181464,29,26,0,14029942,997704806,1977008223,1987576685,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,795504,795504,795504,795504,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,77,0,61085,61085,61085,61085,1
4,7,6550000,6552588,4,8,11600000,11531389,3,5,10700000,10688751,1,2,1600000,1670912,41,6,0,143975,214887,203638,135027,1
3,5,5500000,8839796,0,0,0,0,0,0,0,0,1,1,3500000,0,33,22,0,52044,-3447956,-3447956,-3447956,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,33,0,1422240,1422240,1422240,1422240,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,217,1,3436,3436,3436,3436,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,14,1,24044,24044,24044,24044,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,108873,108873,108873,108873,1
2,3,80000000,50000000,3,4,30011000,30000000,0,0,0,0,0,0,0,0,37,71,0,87718,87718,87718,76718,1
1,2,1000000,10000000,18,26,204022880,315044722,24,29,121000000,288658000,13,21,44000000,140911000,49,9,0,18502271,115413271,283071271,394093113,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,86,0,68929,68929,68929,68929,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,108508,108508,108508,108508,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,232,0,73592,73592,73592,73592,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,629,0,56118,56118,56118,56118,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,232,0,96602,96602,96602,96602,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,1009793,1009793,1009793,1009793,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,628,0,51947,51947,51947,51947,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,23,1,1691,1691,1691,1691,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,107508,107508,107508,107508,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,461,0,52932,52932,52932,52932,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,105286,105286,105286,105286,1
7,10,34550295,34551000,6,9,34647257,34660000,7,10,36529535,36513000,7,11,36696071,50774000,20,0,0,472915,14550844,14534309,14547052,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,72,0,214664,214664,214664,214664,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,112,0,2026011,2026011,2026011,2026011,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,10,0,89904,89904,89904,89904,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,106510,106510,106510,106510,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10,1,6288,6288,6288,6288,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,107159,107159,107159,107159,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,123,0,93351,93351,93351,93351,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,51,0,109978,109978,109978,109978,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,63146,63146,63146,63146,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,298,0,51980,51980,51980,51980,1
1,4,8850000,4739699063,0,0,0,0,0,0,0,0,0,0,0,0,55,28,0,92713,92713,92713,92713,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,88,0,164469,164469,164469,164469,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,78,0,59683,59683,59683,59683,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,68,0,56048,56048,56048,56048,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,75,1,4285,4285,4285,4285,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,804696,804696,804696,804696,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,685,0,63357,63357,63357,63357,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,3,0,1304134,1304134,1304134,1304134,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,338,0,111221,111221,111221,111221,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,1,3374,3374,3374,3374,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,78,0,58702,58702,58702,58702,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,81,0,51160,51160,51160,51160,1
65,72,116447480,625365579,44,48,52402156,56835581,40,48,176768386,313413803,43,50,285571024,322664200,40,28,0,21188563,58281739,194927156,199360581,1
2,3,4900000,1151200,2,5,10000000,9934665,2,3,10000000,10159865,0,2,0,16607070,38,48,0,17065345,33672415,33832280,33766945,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,14,0,51990,51990,51990,51990,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,575,0,411384,411384,411384,411384,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,56765,56765,56765,56765,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,14,0,51498,51498,51498,51498,1
